ktime
 9
time
  0    410.5
  3.5  410.5
  11   410.5
  18   475
  28   457
  38   472
  48   447
  55   475
  88   475
!!!!!!!!!!!!!!!
ktime
 9
time
  0    410.5
  3.5  410.5
  11   410.5
  18   480
  28   457
  38   480
  48   447
  58   480
  88   480
!!!!!!!!!!!!!!!
ktime
 13
time
  0    410.5
  3.5  410.5
  11   410.5
  16   480
  20   485
  23   485
  28   457
  33   473
  38   473
  48   447
  50   447
  60   480
  88   495
!!!!!!!!!!!!!!!
ktime
 12
time
  0    410.5
  3.5  410.5
  11   410.5
  16   495
  20   495
  25   495
  30   472
  35   495
  40   495
  50   472
  60   495
  88   495
!!!!!!!!!!!!!!!
ktime
 10
time
  0    410.5
  3.5  410.5
  11   410.5
  16   495
  20   495
  25   495
  30   472
  35   495
  40   495
  88   495
!!!!!!!!!!!!!!!
